Review,Label,sentiment,sentiment label,srl label
one hand there was the faster speed of f2 8 and on the other hand there was the more range and the image stabilizer,"{'PRED': [5], 'PROD1': [0], 'ASP': [6], 'PROD2': [8]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 3 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
same size generic chinese in wall speakers from amazon sound to me a bit better,"{'PRED': [], 'PROD1': [0], 'ASP': [1], 'PROD2': [8]}",NEGATIVE,"[0, 0, 1]",[[1 3 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it does take shorter time i haven't timed how many seconds  from shot to shot and much faster than canon cf card to erase unwanted shot,"{'PRED': [15, 16], 'PROD1': [0], 'ASP': [17], 'PROD2': [19]}",POSITIVE,"[0, 1, 0]",[[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0]]
product is same size as an apple ipod  so the covers fit perfectly,"{'PRED': [2], 'PROD1': [0], 'ASP': [3], 'PROD2': [6]}",POSITIVE,"[0, 1, 0]",[[0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
getting cd's into it is much faster and easier than with the ipod  and it has infinite storage capacity and a choice of fidelities,"{'PRED': [5], 'PROD1': [3], 'ASP': [6], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[0 0 0 2 0 1 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i'm using the more advanced version than this  the pf 3600 pro  but it sounds like it has the same problems,"{'PRED': [3, 4], 'PROD1': [0], 'ASP': [5], 'PROD2': [9]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 1 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the size is smaller and more compact making it easy to store under the seat or in the glove box when not in use,"{'PRED': [5], 'PROD1': [8], 'ASP': [6], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 1 0 1 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i bought this for very less price but it is not compatible for my gps  so i cannot really say if can handle any gps,"{'PRED': [4, 5], 'PROD1': [8], 'ASP': [6], 'PROD2': [14]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 1 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
first  i could not find a cheaper price on the web  definitely buy from amazon,"{'PRED': [6], 'PROD1': [0], 'ASP': [7], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 1 3 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i don't love how big it is  given the much smaller size of the windshield suction cup  but the portability and easy of use makes it well worth it,"{'PRED': [9, 10], 'PROD1': [5], 'ASP': [11], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 2 0 0 0 1 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
this is the best  but more expensive if bought somewhere else than amazon  which had best price,"{'PRED': [5], 'PROD1': [0], 'ASP': [6], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 1 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
"cos of the cheaper prices  that it's a korean co  and that it was not as well known as sony or some of the other ""big name"" models","{'PRED': [3], 'PROD1': [12], 'ASP': [4], 'PROD2': [19]}",POSITIVE,"[0, 1, 0]",[[0 0 0 1 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0]]
it looked much better in the store  perhaps they employed a higher resolution digital signal  i am hooked-up to standard cable tv,"{'PRED': [11], 'PROD1': [0], 'ASP': [12], 'PROD2': [20]}",NEGATIVE,"[0, 0, 1]",[[2 0 1 1 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0]]
much less noise than d2x speed in continuous shooting  saving files and focus is much faster than s3  no contest,"{'PRED': [1], 'PROD1': [0], 'ASP': [2], 'PROD2': [4]}",POSITIVE,"[0, 1, 0]",[[2 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i went online at ms's site and downloaded a more recent version of intellipoint to control the mouse with,"{'PRED': [9, 10], 'PROD1': [0], 'ASP': [11], 'PROD2': [15]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
from what little i could deduce  the s2010 is a little less expensive than the s400  but the s2010 seems to have better owner reviews,"{'PRED': [10, 11], 'PROD1': [0], 'ASP': [12], 'PROD2': [15]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it looks like a more expensive piece of furniture,"{'PRED': [4], 'PROD1': [0], 'ASP': [5], 'PROD2': [8]}",NEGATIVE,"[0, 0, 1]",[[2 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i own both the wireless and non-wireless version of logitech alto laoptop stand,"{'PRED': [6], 'PROD1': [0], 'ASP': [7], 'PROD2': [9]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 1 0 0 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
if you want more resolution then it will be time to move up to another camera at a much greater price,"{'PRED': [3], 'PROD1': [6], 'ASP': [4], 'PROD2': [15]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i would also recommend getting the newer version of the camera if you want more that 60 minutes of video  as this cam is limited to a 2gb sd card,"{'PRED': [6], 'PROD1': [0], 'ASP': [7], 'PROD2': [10]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
but i suspect the lower priced models of the pixma group are probably almost as good  just not as many colors or ink jets,"{'PRED': [4], 'PROD1': [0], 'ASP': [5], 'PROD2': [9]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
at the time some online retailers were selling new unit at roughly the same price as the refurbished denon on this authorized e-tailer,"{'PRED': [13], 'PROD1': [0], 'ASP': [14], 'PROD2': [18]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i  after a few months of use  relegated this unit to service in my isuzu and purchased a much more expensive unit for use in my bmw,"{'PRED': [18, 19], 'PROD1': [8], 'ASP': [20], 'PROD2': [26]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 4 0 0 0 0 0 0]]
this is same price for a standalone fax machine   which this can be printing is slow for any higher quality,"{'PRED': [2], 'PROD1': [0], 'ASP': [3], 'PROD2': [6]}",NEGATIVE,"[0, 0, 1]",[[0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it have the same function as a handsfree but i can make calls from my car audio system  its good,"{'PRED': [3], 'PROD1': [0], 'ASP': [4], 'PROD2': [15]}",POSITIVE,"[0, 1, 0]",[[2 0 0 1 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i am an adult  but actually like the smaller size of this mouse much better than the bigger mice out there,"{'PRED': [8], 'PROD1': [0], 'ASP': [9], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
they're a bit more expensive than the nike flight headphones though,"{'PRED': [3], 'PROD1': [0], 'ASP': [4], 'PROD2': [7]}",POSITIVE,"[0, 1, 0]",[[2 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it is &quot pseudo-slr&quot  in that the vewfinder displays the same info as the lcd panel,"{'PRED': [10], 'PROD1': [0], 'ASP': [8], 'PROD2': [14]}",NEGATIVE,"[0, 0, 1]",[[2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
next time i'll buy a little more expensive of a fan that is better quality,"{'PRED': [5, 6], 'PROD1': [0], 'ASP': [7], 'PROD2': [10]}",NEGATIVE,"[0, 0, 1]",[[2 0 0 0 0 1 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the prints are a tiny bit more expensive than at a typical camera shop but that depends on your camera shop,"{'PRED': [6], 'PROD1': [0], 'ASP': [7], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
and better picture quality than any inkjet i've seen,"{'PRED': [1], 'PROD1': [0], 'ASP': [2, 3], 'PROD2': [6]}",POSITIVE,"[0, 1, 0]",[[0 0 3 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
its exactly the same size as a pack of cigs,"{'PRED': [3], 'PROD1': [0], 'ASP': [4], 'PROD2': [7]}",NEGATIVE,"[0, 0, 1]",[[2 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
for the same price as a nano  you can get this superior player and those shure headphones,"{'PRED': [2], 'PROD1': [0], 'ASP': [3], 'PROD2': [6]}",POSITIVE,"[0, 1, 0]",[[0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
metal-body connectors are nice  but they are much more expensive and they aren't really any stronger than a good overmolded connector,"{'PRED': [7, 8], 'PROD1': [0], 'ASP': [9], 'PROD2': [20]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0]]
since the cartridges do not have print heads they are less expensive  but they do not contribute to the useful life of the printer,"{'PRED': [10], 'PROD1': [0], 'ASP': [11], 'PROD2': [23]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0]]
this is awesome  it pairs in no time with anything  and is exactly the same size of my network walkman,"{'PRED': [14], 'PROD1': [3], 'ASP': [15], 'PROD2': [19]}",POSITIVE,"[0, 1, 0]",[[0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0]]
but as the lighting was good  the performance should have been better after checking out so many cameras  i belive there is nothing better than canon powershot,"{'PRED': [10, 11], 'PROD1': [0], 'ASP': [12], 'PROD2': [25]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0]]
and is more expensive to send the cable that buying one here in my country,"{'PRED': [2], 'PROD1': [0], 'ASP': [3], 'PROD2': [7]}",NEGATIVE,"[0, 0, 1]",[[0 0 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
if i had a customer waiting for a print job  it was always much faster just to print to the network laser and walk across the building to get it,"{'PRED': [12, 13], 'PROD1': [10], 'ASP': [14], 'PROD2': [21]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 0 0 2 0 0 1 3 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0]]
it may just be the printing process  but the prints come out with better colors from this camera than they did with my film camera,"{'PRED': [13], 'PROD1': [0], 'ASP': [14], 'PROD2': [17]}",POSITIVE,"[0, 1, 0]",[[2 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it's much lighter  compact and better quality than sony,"{'PRED': [1], 'PROD1': [0], 'ASP': [3], 'PROD2': [8]}",POSITIVE,"[0, 1, 0]",[[2 1 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i found the bass to be a touch more responsive after upgrading to this cable,"{'PRED': [7, 8, 9], 'PROD1': [0], 'ASP': [10], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 1 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i found the 3800n was faster and less expensive than the 3700n  both from hp,"{'PRED': [7], 'PROD1': [0], 'ASP': [8], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 1 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
its a great value  more sturdy build and with more features than an ipod,"{'PRED': [], 'PROD1': [0], 'ASP': [6], 'PROD2': [13]}",POSITIVE,"[0, 1, 0]",[[2 0 0 0 1 0 3 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the more storage capacity a player has  the more the manufacturer really needs to think about the interface and software,"{'PRED': [1], 'PROD1': [0], 'ASP': [2], 'PROD2': [17]}",NEGATIVE,"[0, 0, 1]",[[0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
basically the old and the new  the newer units   version 2  have the ability to read micro sdhc memory,"{'PRED': [7], 'PROD1': [0], 'ASP': [9], 'PROD2': [17]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
same size as the ipod nano  2007   but comes with voice recoder  radio  recording from radio  and is about 30% cheaper,"{'PRED': [], 'PROD1': [0], 'ASP': [1], 'PROD2': [4]}",POSITIVE,"[0, 1, 0]",[[1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it also takes more consistently focused and exposed pictures than my old camera,"{'PRED': [3, 4], 'PROD1': [0], 'ASP': [5], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[2 0 0 1 1 3 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it is unreliable and far more expensive to run than xerox will lead you to believe,"{'PRED': [4, 5], 'PROD1': [0], 'ASP': [6], 'PROD2': [10]}",NEGATIVE,"[0, 0, 1]",[[2 0 0 0 1 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
but i suggest the ih8 its the same price i payed for the ih6,"{'PRED': [7], 'PROD1': [5], 'ASP': [8], 'PROD2': [13]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i looked at more expensive cameras  but for an 1988 rv no need to go over the top,"{'PRED': [3], 'PROD1': [0], 'ASP': [4], 'PROD2': [10]}",POSITIVE,"[0, 1, 0]",[[0 0 0 1 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i would recomend this to anyone looking for full functions of more complicated remotes wanting one remote,"{'PRED': [8], 'PROD1': [3], 'ASP': [9], 'PROD2': [13]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
better video can be found from a low end webcam 5 years ago,"{'PRED': [], 'PROD1': [0], 'ASP': [1], 'PROD2': [9]}",NEGATIVE,"[0, 0, 1]",[[0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
